DLPS,ESTC,DocNo,TCP,GaleDocNo
004895521,T143297,CW120013570,K111900.000,CW3320013570
004854797,T87422,CW110493607,K071066.002,CW3311093344
004847025,T75355,CW112541428,K063274.000,CW3312541428
004876766,T116245,CW112092927,K093079.001,CW3312092927
004849393,T79362,CW112924529,K065650.000,CW3312924529
004892691,T138216,CW117727899,K109045.000,CW3317727899
004806133,T3969,CW112997197,K022096.000,CW3312997197
004861747,T96891,CW108360398,K078024.007,CW3308361119
004897843,T146992,CW121211391,K114226.003,CW3321211813
004877346,T116942,CW113465844,K093660.005,CW3313524658
004782202,N33217,CW116959626,K016527.007,CW3316961657
004778893,N23850,CW106549391,K013808.000,CW3306549391
004843629,T70420,CW117444894,K059867.004,CW3317445753
004903390,T50834,CW100782308,K046563.000,CW3300782308
004794536,T18650,CW108853224,K029412.000,CW3308853224
004843899,T70851,CW100650147,K060142.004,CW3300651270
004822925,T200766,CW117210596,K127086.002,CW3317210893
004864140,T99923,CW103422368,K080421.001,CW3303422368
004789306,T10038,CW109149943,K024818.002,CW3309150152
004780133,N26484,CW112329373,K014868.000,CW3312329373
004844300,T71398,CW109701176,K060545.002,CW3309150707
004821688,T194204,CW105975269,K125842.000,CW3305975269
004784113,N4372,CW116484315,K002808.000,CW3316484315
004807965,T42504,CW116565138,K041503.000,CW3316565138
004782202,N33217,CW116959626,K016527.005,CW3316960989
004834153,T57003,CW109503804,K050370.000,CW3309503804
004857289,T90654,CW117763340,K073560.000,CW3317763340
004861747,T96891,CW108360398,K078024.005,CW3308360873
004897843,T146992,CW121211391,K114226.001,CW3321211391
004806274,T39882,CW106963341,K040019.000,CW3306963341
004834001,T56758,CW110242768,K050218.000,CW3310242768
004834143,T56992,CW106704389,K050360.000,CW3306704389
004809434,T5881,CW104236313,K023287.000,CW3304236313
004899844,T45136,CW106675291,K043015.000,CW3306675291
004876766,T116245,CW112092927,K093079.003,CW3311995748
004898314,T147756,CW108499392,K114699.000,CW3308499392
004902903,T49906,CW111927118,K046076.000,CW3311927118
004900469,T46205,CW124554982,K043640.000,CW3324554982
004833353,T55643,CW107863753,K049569.000,CW3307863753
004829363,W20737,CW101932853,K134477.000,CW3301932853
