datefield,shelfmarks,title,publisher,edition,flickr_url_to_book_images,place,issuance,authors,identifier,corporate,date
1794,"b'British Library HMNTS 643.h.6.(3.),British Library HMNTS 163.k.4.'","b'Heigho for a Husband! A comedy [in four acts, and in prose], etc'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003833080',b'London',b'monographic',b'creator',b'003833080',b'',b'1794'
1798,"b'British Library HMNTS 643.h.6.(4.),British Library HMNTS 643.f.9.(3.)'","b'The Man with two Wives; or, Wigs for Ever! A dramatick fable [in verse], etc'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003833083',b'London',b'monographic',b'creator',b'003833083',b'',b'1798'
1797,"b'British Library HMNTS 643.f.7.(5.),British Library HMNTS 163.k.6.(1.),British Library HMNTS 163.k.7.'","b""The Virgin Queen, a drama in five acts [and in verse]: attempted as a sequel to Shakspeare's Tempest""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003833086',b'London',b'monographic',b'creator',b'003833086',b'',b'1797'
1795,"b'British Library HMNTS 643.f.3.(5.),British Library HMNTS 163.k.10.'",b'The Whim; a comedy in three acts [and in prose]',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003838670',b'Margate',b'monographic',b'creator',b'003838670',b'',b'1795'
1791,"b'British Library HMNTS 11607.c.2.(1.),British Library HMNTS 11609.g.16.'",b'The Poems on various subjects of T. W. ... now first collected. [With a portrait.]',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003857517',b'London',b'monographic',b'creator',b'003857517',b'',b'1791'
1795,"b'British Library HMNTS 643.h.6.(6.),British Library HMNTS 163.k.16.'","b'England Preserved; an historical play, in five acts [in verse], etc'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003863787',b'London',b'monographic',b'creator',b'003863787',b'',b'1795'
[1791.],b'British Library HMNTS 992.h.21.(7.)',"b'An Elegiac Pastoral, occasioned by the death of ... J. W., etc,Appendix'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003892732',b'London',b'monographic',b'creator',b'003892732',b'',b'1791'
1792,b'British Library HMNTS 992.h.15.(2.)',b'A West Indian Converted and Slave Grateful. [In verse.]',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003893662',b'Edinburgh',b'monographic',b'',b'003893662',b'',b'1792'
1791,b'British Library HMNTS 992.k.28.(2.)',"b'Miscellaneous Poems, and a Tragedy [entitled, Edmund, surnamed Ironside; in five acts and in verse]'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003894465',b'York',b'monographic',b'creator',b'003894465',b'',b'1791'
1789,b'British Library HMNTS 643.k.18.(12.)',"b""London's glory! on Saint George's day ... 1789. With ... observations on the late Royal excursions in the South and Western Counties of England, etc. [In verse.]""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003894574',b'London',b'monographic',b'creator',b'003894574',b'',b'1789'
1799,b'British Library HMNTS 992.h.24.(4.)',"b""Original sketches of comic and tragic poetry, on the following subjects: Old England's Defiance to France; and a Panegyric on ... Admiral Nelson. To which is added, a new song, called the Sunderland Collier""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003894575',b'London',b'monographic',b'creator',b'003894575',b'',b'1799'
1792,b'British Library HMNTS 992.h.21.(10.)',"b'A Trip to Highgate; or, a Satirical Touch on the Times. [In verse.] To which are added An Epigram on the Duchess of York, 18th January, 1792, and also original ... songs ... on the praise of the Lord Chancellor. Second edition'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003894577',b'London',b'monographic',b'creator',b'003894577',b'',b'1792'
1791,b'British Library HMNTS 11622.d.5.',"b'P. W.s Bottle Companion; a collection of convivial songs, etc'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003900574',b'London',b'monographic',b'creator',b'003900574',b'',b'1791'
[1797.],b'British Library HMNTS 11602.gg.26.(5.)',"b""Saint Guerdun's Well ... Second edition, ... enlarged""",b'Printed for the Author',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003909270',b'Dumfries',b'monographic',b'creator',b'003909270',b'',b'1797'
1794,"b'British Library HMNTS 642.d.11.(1.),British Library HMNTS 81.d.6.'",b'A specimen of a commentary on Shakspeare',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003911555',b'London',b'monographic',b'creator',b'003911555',b'',b'1794'
1796.],b'British Library HMNTS 11641.bb.60.',"b'The Spirit of Loyalty; or, the Williamite. A collection of Songs'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003930745',b'Dublin?',b'monographic',b'',b'003930745',b'',b'1796'
1794,b'British Library HMNTS 992.b.33.',"b'Poems, Lyric and Pastoral. (An account of, and extracts from, the Welsh-Bardic Triades.)'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003932106',b'London',b'monographic',b'creator',b'003932106',b'',b'1794'
1791,b'British Library HMNTS 11641.h.4.(2.)',b'A Farewell for two years to England. A poem',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003933248',b'London',b'monographic',b'creator',b'003933248',b'',b'1791'
1791,"b'British Library HMNTS 994.g.44,British Library HMNTS 994.g.34.'",b'[Poems.]',b'',b'Second edition.',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003933275',b'',b'monographic',b'creator',b'003933275',b'',b'1791'
1796,b'British Library HMNTS 644.k.22.(6.)',"b'Redemption: a sacred poem. With notes, doctrinal, moral, and philosophical. Book the first'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003937237',"b'London,]'",b'monographic',b'creator',b'003937237',b'',b'1796'
1791,b'British Library HMNTS 992.h.21.(5.)',"b'An Elegy on the Death of John Wesley, etc'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003949311',b'London',b'monographic',b'creator',b'003949311',b'',b'1791'
[1795.],b'British Library HMNTS 644.k.24.(9.)',b'A call to the country [a poem]; inscribed to the Rt. Hon. W. Windham',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003950094',b'London',b'monographic',b'creator',b'003950094',b'',b'1795'
1799,"b'British Library HMNTS 1465.k.4.,British Library HMNTS C.184.a.3.'",b'[The Equality of Mankind.]',b'',b'[Another edition.]',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003960904',b'London',b'monographic',b'creator',b'003960904',b'',b'1799'
1795,b'British Library HMNTS 644.k.22.(4.)',"b""The Wolf in sheep's cloathing. A fragment [in verse]. Addressed to the methodistical clergy, etc""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003962445',b'London',b'monographic',b'',b'003962445',b'',b'1795'
[1792.],b'British Library HMNTS 992.h.21.(12.)',"b'Willy Wood, and Greedy Grizzle: a tale of the present century. Founded on fact. [In verse.] ... To which are subjoined three new songs'",b'J. Forbes',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003970444',b'London',b'monographic',"b'contributor,creator'",b'003970444',b'',b'1792'
1789,b'British Library HMNTS 11645.g.42.',b'Poetical Amusements',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003980652',b'Nottingham',b'monographic',b'creator',b'003980652',b'',b'1789'
1795,b'British Library HMNTS 11601.ee.32.(4.)',b'The Destruction of Babylon. [A poem.]',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003981152',b'',b'monographic',b'creator',b'003981152',b'',b'1795'
